Program	Optimization	K	Iterations	Workgroup	Time (ms)
OCL	O2	16	20	256	659
OCL	O2	16	20	256	652
OCL	O2	16	20	256	690
OCL	O2	16	20	256	651
OCL	O2	16	20	256	682
OCL	O2	16	20	256	623
OCL	O2	16	20	256	666
OCL	O2	16	20	256	674
OCL	O2	32	20	256	827
OCL	O2	32	20	256	793
OCL	O2	16	20	256	685
OCL	O2	16	20	256	695
OCL	O2	16	20	256	684
OCL	O2	32	20	256	782
OCL	O2	32	20	256	776
OCL	O2	32	20	256	778
OCL	O2	32	20	256	782
OCL	O2	32	20	256	789
OCL	O2	32	20	256	783
OCL	O2	64	20	256	1024
OCL	O2	64	20	256	1018
OCL	O2	32	20	256	772
OCL	O2	128	20	256	1239
OCL	O2	64	20	256	1019
OCL	O2	64	20	256	1018
OCL	O2	128	20	256	1247
OCL	O2	64	20	256	1022
OCL	O2	256	20	256	2003
OCL	O2	32	20	256	785
OCL	O2	128	20	256	1247
OCL	O2	64	20	256	1016
OCL	O2	64	20	256	1015
OCL	O2	64	20	256	1019
OCL	O2	256	20	256	2013
OCL	O2	256	20	256	2032
OCL	O2	256	20	256	1996
OCL	O2	64	20	256	1014
OCL	O2	128	20	256	1238
OCL	O2	128	20	256	1238
OCL	O2	256	20	256	2023
OCL	O2	256	20	256	2009
OCL	O2	256	20	256	2015
OCL	O2	256	20	256	2003
OCL	O2	256	20	256	2026
OCL	O2	128	20	256	1241
OCL	O2	128	20	256	1248
OCL	O2	256	20	256	2009
OCL	O2	128	20	256	1262
OCL	O2	128	20	256	1242
OCL	O2	128	20	256	1264
OCL	O2	64	20	256	1015
