Serial  O0	64K	20I	1T	5149ms
Serial  O0	64K	20I	1T	4984ms
Serial  O0	64K	20I	1T	4914ms
Serial  O0	64K	20I	1T	5061ms
Serial  O0	64K	20I	1T	4948ms
Serial  O0	64K	20I	1T	5017ms
Serial  O0	64K	20I	1T	5159ms
Serial  O0	64K	20I	1T	4943ms
Serial  O0	64K	20I	1T	5005ms
Serial  O0	64K	20I	1T	5007ms
Serial  O0	64K	20I	1T	5004ms
Serial  O0	64K	20I	1T	4953ms
OMP O0	64K	20I	1T	5209ms
OMP O0	64K	20I	1T	4959ms
OMP O0	64K	20I	1T	5067ms
OMP O0	64K	20I	1T	5118ms
OMP O0	64K	20I	1T	5307ms
OMP O0	64K	20I	1T	5022ms
OMP O0	64K	20I	1T	4960ms
OMP O0	64K	20I	1T	5249ms
OMP O0	64K	20I	1T	5054ms
OMP O0	64K	20I	1T	4926ms
OMP	O2	64K	20I	1T	2146ms
OMP	O2	64K	20I	1T	2185ms
OMP	O2	64K	20I	1T	2168ms
OMP	O2	64K	20I	1T	2122ms
OMP	O2	64K	20I	1T	2192ms
OMP	O2	64K	20I	1T	2216ms
OMP	O2	64K	20I	1T	2147ms
OMP	O2	64K	20I	1T	2171ms
OMP	O2	64K	20I	1T	2153ms
OMP	O2	64K	20I	1T	2148ms
Serial	O2	64K	20I	1T	2146ms
Serial	O2	64K	20I	1T	2132ms
Serial	O2	64K	20I	1T	2147ms
Serial	O2	64K	20I	1T	2162ms
Serial	O2	64K	20I	1T	2185ms
Serial	O2	64K	20I	1T	2274ms
Serial	O2	64K	20I	1T	2122ms
Serial	O2	64K	20I	1T	2138ms
Serial	O2	64K	20I	1T	2111ms
Serial	O2	64K	20I	1T	2191ms
Serial	O3	64K	20I	1T	2166ms
Serial	O3	64K	20I	1T	2185ms
Serial	O3	64K	20I	1T	2132ms
Serial	O3	64K	20I	1T	2122ms
Serial	O3	64K	20I	1T	2154ms
Serial	O3	64K	20I	1T	2164ms
Serial	O3	64K	20I	1T	2133ms
Serial	O3	64K	20I	1T	2143ms
Serial	O3	64K	20I	1T	2158ms
Serial	O3	64K	20I	1T	2121ms
OMP	O3	64K	20I	1T	2157ms
OMP	O3	64K	20I	1T	2104ms
OMP	O3	64K	20I	1T	2218ms
OMP	O3	64K	20I	1T	2194ms
OMP	O3	64K	20I	1T	2258ms
OMP	O3	64K	20I	1T	2151ms
OMP	O3	64K	20I	1T	2111ms
OMP	O3	64K	20I	1T	2217ms
OMP	O3	64K	20I	1T	2158ms
OMP	O3	64K	20I	1T	2151ms
